Day_Of_Week,Start_Date_Time,End_Date_Time,Event_Name,Location,Game_Binary,Homecoming_Binary
Monday,11/4/2019 4:00 PM,11/4/2019 5:30 PM,Language House Coffee and Conversation,St. Mary's Hall,0,0
Monday,11/4/2019 5:00 PM,11/4/2019 6:30 PM,Office of Multi-ethnic Student Education Open House,Hornbake Library,0,0
Monday,11/4/2019 6:00 PM,11/4/2019 7:00 PM,Monday Meditation,Memorial Chapel,0,0
Monday,11/4/2019 6:30 PM,11/4/2019 8:00 PM,Blowing Up Mountains for Coal: Environmental Impacts That Never Stop - Science on Tap,The ArtHouse,0,0
Tuesday,11/5/2019 11:00 AM,11/5/2019 2:00 PM,Women's Basketball,Xfinity Center,1,0
Tuesday,11/5/2019 11:00 AM,11/5/2019 3:00 PM,Physical Cultural Studies in Future Tense,School of Public Health Building,0,0
Tuesday,11/5/2019 12:00 PM,11/5/2019 1:00 PM,Indaba: Affinity Spaces and Collective Convening,Stamp Student Union,0,0
Tuesday,11/5/2019 3:15 PM,11/5/2019 5:00 PM,University Senate,Stamp Student Union,0,0
Tuesday,11/5/2019 3:30 PM,11/5/2019 6:00 PM,"Jewish Religious Architecture from the Middle East, Europe and America",H.J. Patterson Hall,0,0
Tuesday,11/5/2019 7:30 PM,11/5/2019 10:30 PM,Men's Basketball,Xfinity Center,1,0
Tuesday,11/5/2019 7:30 PM,11/5/2019 8:30 PM,Fall Chamber Jazz,Clarice Smith Performing Arts Center,0,1
Tuesday,11/5/2019 8:00 PM,11/5/2019 10:30 PM,Free Fall Movie,Stamp Student Union,0,0
Wednesday,11/6/2019 8:00 AM,11/6/2019 10:00 AM,University and Community Band,Clarice Smith Performing Arts Center,0,0
Wednesday,11/6/2019 8:45 AM,11/6/2019 5:00 PM,ioWorkshop & JASCO J-1500 Circular Dichroism Spectrophotometer Workshop,A. James Clark Hall,0,0
Wednesday,11/6/2019 11:00 AM,11/6/2019 3:00 PM,Farmers Market,Tawes Hall,0,0
Wednesday,11/6/2019 2:00 PM,11/6/2019 4:00 PM,Where Can STEM Take You?,Stamp Student Union,0,0
Wednesday,11/6/2019 7:00 PM,11/6/2019 8:30 PM,Royal Scottish Country Dance,Mathematics Building,0,0
Thursday,11/7/2019 8:00 AM,11/7/2019 5:00 PM,Maryland Assessment Research Center Annual Conference,Stamp Student Union,0,0
Thursday,11/7/2019 4:00 PM,11/7/2019 5:00 PM,"Discussion with ""Demagoguery and Democracy"" First Year Book Author",Stamp Student Union,0,0
Thursday,11/7/2019 6:00 PM,11/7/2019 7:00 PM,Salsa & Bachata Dance Class,Stamp Student Union,0,0
Thursday,11/7/2019 7:00 PM,11/7/2019 9:00 PM,Remembering the Jews of Greece: A Musical Journey,Tawes Hall,0,0
